Nom,Duree_minutes,Lieu,Effort,Tranche_age
Randonnée au Mont-Royal,120,Extérieur,Modéré,18-21
Atelier peinture,90,Intérieur,Faible,26-29
Cinéma Guzzo,150,Intérieur,Faible,30-35
Séance de yoga,60,Intérieur,Faible,41-45
Match de soccer,90,Extérieur,Intense,22-25
Café et lecture,60,Intérieur,Faible,36-40
Musée Pointe-à-Callière,90,Intérieur,Modéré,30-35
Jeu d’évasion,60,Intérieur,Modéré,18-21
Atelier de poterie,120,Intérieur,Modéré,45+
Mini-golf intérieur,75,Intérieur,Modéré,26-29
Visite du Biodôme,90,Intérieur,Modéré,16-17
Marche au Vieux-Port,60,Extérieur,Faible,22-25
Karaoké,120,Intérieur,Intense,30-35
Cours de cuisine,120,Intérieur,Modéré,36-40
Méditation guidée,45,Intérieur,Faible,45+
Atelier d’écriture,90,Intérieur,Faible,18-21
Visite guidée historique,90,Extérieur,Modéré,41-45
Trampoline intérieur,60,Intérieur,Intense,16-17
Séance photo urbaine,90,Extérieur,Modéré,22-25
Dessin au parc,60,Extérieur,Faible,30-35
Baignade au parc Jean-Drapeau,90,Extérieur,Modéré,26-29
Escape Game VR,75,Intérieur,Modéré,18-21
Initiation à l’escalade,90,Intérieur,Intense,36-40
Bowling,90,Intérieur,Modéré,41-45
Dégustation de thé,60,Intérieur,Faible,45+
